City,Total Accidents
Burbank,1529
Burgaw,102
Burgess,8
Burgettstown,27
Burgoon,1
Burien,3
Burkburnett,4
Burke,228
Burkeville,76
Burleson,184
Burley,4
Burlingame,435
Burlington,734
Burlington Junction,2
Burlison,1
Burna,6
Burnet,1
Burney,151
Burnham,18
Burns,292
Burnside,1
Burnsville,775
Burnt Cabins,23
Burnt Hills,7
Burnt Prairie,4
Burnt Ranch,55
Burr Oak,1
Burr Ridge,15
Burson,9
Burt,2
Burtchville,7
Burton,510
Burtonsville,28
Burtrum,6
Busby,17
Bushkill,13
Bushnell,234
Buskirk,16
Bussey,5
Busy,1
Butler,115
Butner,60
Butte,342
Butte City,25
Butte Falls,23
Butterfield,45
Buttonwillow,302
Buxton,77
Buzzards Bay,26
BWI Airport,5
Bybee,2
Byers,54
Byesville,6
Byfield,8
Byhalia,51
Bylas,8
Bynum,2
Byram,71
Byram Township,5
Byrdstown,3
Byrnedale,5
Byromville,3
Byron,575
Byron Center,173
Caballo,18
Cabery,1
Cabin Creek,45
Cabin John,170
Cabins,1
Cable,1
Cabool,2
Cabot,125
Caddo,2
Caddo Gap,3
Caddo Mills,5
Cades,41
Cadet,6
Cadillac,3
Cadiz,17
Cadott,1
Cahone,13
Cairnbrook,29
Cairo,12
Calabasas,584
Calabash,16
Calamus,4
Caldwell,300
Caledonia,286
Calera,292
Calhan,44
Calhoun,237
Calhoun City,2
Calhoun Falls,26
Calico Rock,10
Caliente,177
California,38
California City,36
California Hot Springs,57
Calimesa,56
Calistoga,393
Callahan,227
Callao,45
Callaway,45
Callicoon,5
Calpine,37
Calumet,7
Calumet City,179
Calvert,2
Calvert City,3
Calverton,29
Calvin,2
Camak,3
Camanche,1
Camano Island,11
Camarillo,935
Camas,40
Camas Valley,67
Cambria,165
Cambria Heights,174
Cambridge,625
Cambridge City,46
Cambridge Springs,15
Camby,16
Camden,1022
Camden on Gauley,1
Camden Wyoming,10
Camdenton,1
Camden-Wyoming,8
Cameron,210
Cameron Park,127
Camilla,17
Camillus,19
Camino,173
Cammal,3
Camp Creek,13
Camp Dennison,1
Camp Douglas,10
Camp Hill,266
Camp Lejeune,4
Camp Meeker,12
Camp Pendleton,372
Camp Pendleton Marine Corps Base,177
Camp Sherman,97
Camp Verde,100
Campbell,253
Campbell Hall,4
Campbellsburg,14
Campbellsville,5
Campbellton,56
Campo,8
Campo Seco,2
Campobello,241
Campton,8
Camptonville,51
Cana,135
Canaan,140
Canadensis,3
Canadian,3
Canajoharie,51
Canal Fulton,8
Canal Point,8
Canal Winchester,115
Canaseraga,2
Canastota,144
Canby,131
Candia,5
Candler,287
Candor,41
Canfield,20
Canisteo,2
Cannon Ball,3
Cannon Beach,16
Cannon Falls,245
Cannonville,4
Canoga Park,49
Canon,1
Canon City,103
Canonsburg,156
Canterbury,28
Cantil,75
Canton,1421
Cantonment,482
Cantua Creek,30
Canyon,47
Canyon City,37
Canyon Country,578
Canyon Creek,46
Canyon Dam,10
Canyondam,3
Canyonville,36
Capac,10
Capay,42
Cape Canaveral,20
Cape Carteret,4
Cape Charles,103
Cape Coral,292
Cape Fair,4
Cape Girardeau,14
Cape May,10
Cape May Court House,152
Cape Neddick,1
Capistrano Beach,129
Capitol Heights,408
Capitola,176
Capon Bridge,9
Capron,34
Captiva,3
Carbon,6
Carbon Hill,47
Carbondale,71
Cardiff by the Sea,314
Cardington,2
Cardwell,255
Carefree,1
Carencro,93
Caret,12
Carey,8
Carle Place,85
Carleton,34
Carlin,29
Carlisle,881
Carlock,7
Carlos,18
Carlotta,75
Carlsbad,1220
Carlstadt,168
Carlton,226
Carmel,645
Carmel Valley,167
Carmel-by-the-Sea,112
Carmichael,958
Carmichaels,6
Carnation,12
Carnegie,282
