City,Total Accidents
Charlotte Court House,14
Charlotte Hall,65
Charlottesville,1680
Charlton,26
Chase City,94
Chaseley,1
Chaska,240
Chateaugay,6
Chatfield,104
Chatham,193
Chatom,2
Chatsworth,420
Chattahoochee,141
Chattanooga,8009
Chattaroy,6
Chauvin,2
Chazy,1
Chebanse,16
Cheboygan,6
Checotah,1
Cheektowaga,4
Chehalis,160
Chelmsford,175
Chelsea,251
Cheltenham,109
Chemult,174
Chemung,1
Chenango Forks,4
Cheney,33
Cheneyville,5
Chenoa,21
Cheraw,151
Cherokee,34
Cherry Creek,1
Cherry Hill,716
Cherry Log,6
Cherry Tree,20
Cherry Valley,40
Cherryvale,7
Cherryville,23
Chesapeake,3408
Chesapeake Beach,11
Chesapeake City,15
Cheshire,323
Chesnee,511
Chester,2472
Chester Springs,168
Chesterfield,1055
Chesterland,9
Chesterton,241
Chestertown,150
Chestnut Hill,69
Chestnutridge,1
Cheswick,14
Chetek,1
Chetopa,2
Cheverly,4
Chevy Chase,485
Cheyenne,167
Cheyenne Wells,2
Cheyney,4
Chicago,9258
Chicago Heights,110
Chicago Ridge,56
Chichester,6
Chickamauga,3
Chickasaw,3
Chickasha,1
Chico,761
Chicopee,22
Chidester,32
Chiefland,96
Chilcoot,26
Childersburg,2
Childress,2
Childwold,4
Chilhowie,87
Chillicothe,59
Chiloquin,464
Chilton,9
Chimacum,3
Chimayo,4
China Grove,144
Chincoteague,4
Chinle,27
Chino,1772
Chino Hills,298
Chino Valley,87
Chinook,27
Chinquapin,5
Chipley,228
Chippewa Falls,33
Chisago City,52
Chisholm,66
Chittenango,17
Chocowinity,15
Choctaw,54
Chokoloskee,1
Choteau,15
Choudrant,5
Chowchilla,412
Chrisney,3
Christiana,92
Christiansburg,381
Christine,5
Christmas,171
Chualar,31
Chuckey,14
Chugwater,26
Chula,15
Chula Vista,637
Chuluota,14
Chunchula,24
Chunky,3
Church Creek,10
Church Hill,75
Church Point,3
Church Road,27
Church View,15
Churchs Ferry,4
Churchton,2
Churchville,204
Churubusco,21
Cibola,100
Cicero,107
Cimarron,11
Cincinnati,4191
Cincinnatus,14
Cinebar,1
Cinnaminson,29
Circle,8
Circle Pines,177
Circleville,56
Cisco,44
Citra,239
Citronelle,10
Citrus Heights,549
Citrus Springs,32
City Of Industry,597
Clackamas,387
Clairfield,2
Clairton,79
Clallam Bay,3
Clancy,132
Clanton,556
Clara City,59
Clare,29
Claremont,941
Claremore,3
Clarence,10
Clarendon,24
Clarendon Hills,48
Clarinda,1
Clarington,4
Clarion,151
Clarissa,8
Clark,322
Clark Mills,2
Clarkdale,7
Clarkesville,22
Clarkfield,22
Clarklake,25
Clarkrange,2
Clarks Grove,78
Clarks Hill,32
Clarks Mills,3
Clarks Summit,44
Clarksboro,24
Clarksburg,350
Clarkson,6
Clarkston,554
Clarksville,613
Clarkton,16
Claryville,1
Clatskanie,196
Claude,5
Claudville,11
Claverack,16
Claxton,12
Clay,47
Clay City,1
Claymont,227
Claypool,10
Claysburg,56
Claysville,65
Clayton,421
Clayville,6
Cle Elum,144
Clear Brook,128
Clear Lake,91
Clear Spring,111
Clearbrook,1
Clearfield,1075
Clearlake,69
Clearlake Oaks,248
Clearville,11
Clearwater,3551
Clearwater Beach,68
Cleburne,4
Clementon,48
Clements,61
Clemmons,64
Clemons,1
Clemson,107
Clendenin,47
Cleona,11
Clermont,955
Cleveland,3849
Cleveland Heights,2
Cleves,95
Clewiston,74
Cliffwood,8
Clifton,1189
Clifton Forge,78
Clifton Heights,29
Clifton Park,734
Clifton Springs,97
Climax,71
Clinchco,12
Clint,40
Clinton,1933
Clinton Corners,94
Clinton Township,141
Clintondale,3
Clintonville,4
Clintwood,5
Clio,481
Clipper Mills,5
Clitherall,10
Clive,127
Cloquet,96
Closter,1
Clover,611
Cloverdale,513
Clovis,599
Clute,6
Clyde,348
Clymer,20
Coahoma,2
Coal Center,9
Coal City,5
Coal Township,65
Coal Twp,9
Coal Valley,2
Coaldale,1
Coaling,11
Coalinga,394
Coalmont,12
Coalport,67
Coalville,407
Coarsegold,357
Coatesville,719
Coats,11
Cobalt,4
Cobb,33
Cobbs Creek,9
Cobbtown,15
Cobleskill,8
Cochecton,3
Cochise,13
Cochran,13
Cochranton,10
Cochranville,62
Cockeysville,151
Cocoa,1064
Cocoa Beach,33
Cocoa-Rockledge,4
Cocolamus,14
Coconut Creek,16
Coden,7
Cody,3
Codyville Plt,1
Coeburn,22
Coeur D Alene,45
Coeymans Hollow,6
Coffee Creek,4
Coffeeville,3
Cofield,3
Cogan Station,63
Cogswell,3
Cohagen,10
Cohasset,56
Cohocton,3
Cohoes,128
Coinjock,1
Cokato,29
Cokeburg,1
Coker,47
Cokeville,2
Colbert,12
Colby,4
Colchester,52
Cold Spring,100
Cold Spring Harbor,4
Coldwater,39
Colebrook,8
Coleharbor,1
Coleman,53
Coleman Falls,3
Colerain,3
Coleraine,12
Coleridge,2
Coleville,136
Colfax,551
Collbran,1
College Grove,15
College Park,476
College Point,59
College Station,6
Collegeville,564
Colleyville,7
Collierville,37
Collingdale,1
Collingswood,23
Collins,22
Collinston,19
Collinsville,181
Colma,8
Colmar,128
Colmesneil,1
Colo,3
Cologne,32
Coloma,66
Colona,27
Colonia,111
Colonial Beach,52
Colonial Heights,572
Colonie,7
Colora,2
Colorado City,44
Colorado Springs,1531
Colquitt,6
Colstrip,4
Colton,2550
Colts Neck,48
Columbia,11955
Columbia City,25
Columbia Cross Roads,9
Columbia Falls,169
Columbia Station,6
Columbiana,14
Columbiaville,5
Columbus,6281
Columbus Grove,2
Columbus Junction,7
Colusa,168
Colver,2
Colville,2
Colwich,6
Comanche,8
Comer,4
Comfort,7
Comfrey,3
Commack,246
Commerce,671
Commerce City,263
Commodore,8
Como,1
Comptche,33
Compton,2144
Comstock,5
Comstock Park,148
Concan,1
Concho,42
Concord,1923
Concord Twp,1
Concordia,33
Concrete,14
Condon,66
Conestoga,13
Conesville,1
Confluence,63
Congers,3
Congress,191
Conifer,27
Conklin,16
Conley,129
Conneaut,10
Conneaut Lake,4
Connell,3
Connellsville,45
Connelly Springs,61
Conner,21
Connersville,6
Conover,69
Conowingo,19
Conrad,41
Conroe,416
Conservation,111
Conshohocken,1287
Constable,8
Constableville,4
Constantia,3
Constantine,4
Continental Divide,36
Contoocook,13
Convent,11
Converse,110
Convoy,5
Conway,2325
Conyers,243
Cook,32
Cooke City,2
Cookeville,264
Cooksburg,3
Cooksville,40
Cool,107
Cool Ridge,34
Coolidge,160
Coolspring,3
Coolville,4
Coon Rapids,4
Cooper City,2
Coopersburg,119
Cooperstown,4
Coopersville,81
Coos Bay,294
Coosawhatchie,44
Copake,3
Cope,100
Copenhagen,2
Copiague,17
Copley,1
Coppell,91
Copper Hill,14
Copperas Cove,15
Copperhill,9
Copperopolis,159
Coquille,169
Coral,1
Coral Gables,641
Coral Springs,105
Coral Springs-Margate,3
Coralville,101
Coram,68
Coraopolis,152
Corapeake,17
Corbett,214
Corbin,19
Corcoran,173
Cord,3
Cordele,31
Cordell,1
Cordesville,29
Cordova,392
Corfu,138
Corinna,1
Corinne,13
Corinth,33
Cornelia,9
Cornelius,222
Cornersville,33
Corning,516
Cornville,19
Cornwall,10
Cornwall Bridge,5
Corona,6696
Corona Del Mar,29
Coronado,134
Corpus Christi,28
Corral,3
Correctionville,5
Corrigan,4
Corry,26
Corryton,8
Corsica,100
Corsicana,15
Corte Madera,189
Cortez,42
Cortland,51
Cortlandt Manor,359
Corvallis,251
Corydon,53
Cos Cob,42
Cosby,76
Coshocton,6
Cosmopolis,7
Cosmos,23
Costa Mesa,1849
Cotati,201
Cotopaxi,41
Cottage Grove,453
Cottageville,95
Cotton,37
Cottondale,506
Cottontown,10
Cottonwood,556
Cotuit,4
Cotulla,16
Coudersport,72
Coulee City,2
Coulterville,114
Counce,3
Council,13
Council Bluffs,337
Country Club Hills,77
Countryside,59
Coupeville,24
Coupland,46
Courtenay,1
Courtland,131
Cove,36
Cove City,19
Covelo,139
Coventry,11
Covert,29
Covesville,17
Covina,957
Covington,1240
Covington Township,2
Cowan,1
Cowansville,3
Coward,79
Cowarts,7
Coweta,3
Cowlesville,1
Cowpens,834
Coxs Creek,4
Coxsackie,36
Coyanosa,4
Coyote,73
Cozad,9
Crab Orchard,63
Crabtree,6
Craig,29
Craigmont,5
Craigsville,18
Cramerton,1
Cranberry,28
Cranberry Township,46
Cranberry Twp,34
Cranbury,128
Crandall,9
Crane,1
Crane Hill,1
Cranesville,2
Cranford,440
Cranston,318
Crary,3
Craryville,43
Crawford,16
Crawfordsville,237
Crawfordville,453
Crawley,8
Cream Ridge,8
Creede,44
Creedmoor,137
Creekside,4
Creighton,10
Creola,39
Crescent,151
Crescent City,671
Crescent Lake,38
Crescent Mills,8
Crescent Springs,10
Crescent Valley,137
Cresco,11
Cresson,74
Cressona,6
Crest Hill,5
Crested Butte,2
Crestline,385
Creston,60
Crestview,534
Crestview Hills,35
Crestwood,49
Creswell,150
Crete,21
Creve Coeur,38
Crewe,70
Criders,4
Crimora,33
Cripple Creek,9
Crisfield,15
Crittenden,29
Crockett,199
Crofton,19
Crompond,6
Cromwell,427
Crook,19
Crooksville,1
Cropseyville,9
Cropwell,2
Crosby,50
Cross,130
Cross City,31
Cross Fork,3
Cross Hill,71
Cross Junction,35
Cross Plains,69
Cross River,42
Crossett,7
Crossnore,1
Crossroads,1
Crossville,177
Crothersville,49
Croton Falls,9
Croton on Hudson,47
Croton-on-Hudson,43
Crouse,7
Crow Agency,29
Crowley,47
Crown,3
Crown Point,140
Crownsville,156
Crows Landing,123
Croydon,11
Crozet,159
Crozier,3
Crum Lynne,110
Crumpler,5
Crystal Bay,26
Crystal Beach,12
Crystal City,9
Crystal Lake,17
Crystal River,155
Crystal Spring,60
Crystal Springs,25
Cuba,56
Cubero,32
Cudahy,14
Cuddebackville,5
Cuervo,22
Culbertson,8
Culdesac,6
Cullen,5
Culleoka,7
Cullman,588
Culloden,45
Cullom,1
Cullowhee,27
Culpeper,198
Culver,135
Culver City,1150
Cumberland,282
Cumberland Center,1
Cumberland City,6
Cumberland Furnace,9
Cumby,5
Cumming,148
Cummings,16
Cummington,1
Cunningham,5
Cupertino,571
Curlew,1
Currie,30
Currituck,5
Curtice,1
Curtis Bay,390
Curtiss,2
Curwensville,88
Cushing,50
Cusick,9
Cusseta,41
Custer,46
Custer City,7
Cut Bank,23
Cutchogue,4
Cuthbert,17
Cutler,167
Cutler Bay,1256
Cuyahoga Falls,52
Cuyama,6
Cyclone,27
Cygnet,6
Cypress,224
Cyrus,5
Dacula,67
Dade City,542
Dadeville,7
Dafter,3
Dagsboro,6
Dahlgren,9
Dahlonega,9
Dairy,18
Dakota,176
Dakota City,1
Dalbo,8
Dale,39
Daleville,142
Dalhart,16
Dallas,42829
Dallas Center,2
Dallastown,61
Dallesport,8
Dalmatia,33
Dalton,264
Daly City,614
Dalzell,169
Damascus,244
Dameron,3
Dammeron Valley,6
Damon,3
Dana,7
Dana Point,94
Danbury,426
Dandridge,179
Dane,8
Danforth,3
Dania,294
Dania Beach,73
Daniel Island,2
Daniels,7
Danielson,29
Danielsville,7
Dansville,36
Dante,6
Danube,13
Danvers,108
Danville,1221
Daphne,610
Darby,103
Dardanelle,23
Darfur,2
Darien,807
Darien Center,7
Darlington,688
Darragh,2
Darrington,1
Darwin,16
Dassel,76
Dateland,34
Daufuskie Island,1
Dauphin,105
Dauphin Island,2
Davenport,1385
Davidson,99
Davidsonville,99
Davidsville,37
Davie,220
Davis,781
Davis City,6
Davis Creek,24
Davisburg,92
Davison,375
Daviston,6
Dawn,1
Dawson,52
Dawson Springs,1
Dawsonville,11
Dayton,5979
Daytona Beach,622
Dayville,39
Dazey,1
De Beque,127
De Berry,11
De Borgia,4
De Lancey,1
De Leon,3
De Leon Springs,64
De Mossville,4
De Pere,73
De Soto,112
De Witt,27
Deadwood,23
Deal Island,8
Deansboro,11
Dearborn,402
Dearborn Heights,2
Death Valley,39
Deatsville,110
Debary,145
Decatur,2277
Decherd,118
Decker,8
Declo,29
Decorah,1
Dedham,135
Deep Gap,4
Deep River,15
Deep Run,12
Deepwater,1
Deer,3
Deer Creek,47
Deer Island,30
Deer Lodge,152
Deer Park,136
Deer River,98
Deer Trail,6
Deerbrook,1
Deerfield,335
Deerfield Beach,589
Deerwood,60
Deeth,44
Defiance,13
Deforest,80
Defuniak Springs,506
Dekalb,44
Del City,2
Del Mar,308
Del Norte,5
Del Rey,96
Del Rio,11
Del Valle,910
Delafield,73
Delanco,1
DeLand,747
Delano,691
Delanson,82
Delaplane,179
Delavan,19
Delaware,236
Delaware City,1
Delaware Water Gap,30
Delbarton,2
Delco,14
Delevan,2
Delhi,421
Delight,2
Dell,13
Dell City,2
Delmar,57
Delmont,42
Delphi,7
Delphos,4
Delran,21
Delray Beach,850
Delta,171
Deltaville,18
Deltona,294
Deming,75
Demopolis,6
Demorest,13
Demotte,81
Denair,156
Dendron,11
Denham Springs,199
Denhoff,2
Denio,8
Denison,11
Denmark,63
Dennard,4
Dennehotso,3
Dennis,1
Dennison,32
Dent,9
Denton,1155
Denver,6782
Denville,107
Depew,8
Depoe Bay,78
Deposit,18
Deputy,4
Derby,46
Derby Line,1
Deridder,1
Dermott,16
Derrick City,30
Derry,56
Derwood,129
Des Allemands,18
Des Moines,1101
Des Plaines,548
Desdemona,4
Desha,1
Deshler,1
Desoto,102
Destin,172
Destrehan,34
Detroit,6338
Detroit Lakes,195
Devens,7
Devils Lake,11
Devine,2
Devon,68
Dewey,107
Deweyville,7
DeWitt,108
Dewy Rose,4
Dexter,202
Dexter City,1
Diablo,8
Diamond,10
Diamond Bar,2045
Diamond Point,51
Diamond Springs,121
Diamondhead,13
Diberville,22
D'Iberville,11
Diboll,3
Dickerson,43
Dickinson,99
Dickson,74
Dierks,8
Dike,11
Dillard,1
Dilley,9
Dillon,806
Dillon Beach,8
Dillonvale,1
Dillsboro,8
Dillsburg,216
Dillwyn,54
Dilworth,1
Dimmitt,8
Dimondale,10
Dingmans Ferry,46
Dinosaur,12
Dinuba,355
Dinwiddie,195
Discovery Bay,193
Disputanta,50
District 1,4
District 12 Oxon Hill,3
District 13,1
District 17 Chillum,1
District 18 Seat Pleasant,3
District 2,1
District 24 Braddock,1
District 4 Kent Island,22
District 5,20
District 6 Northern,1
District 7 Ocean City,5
District 9,1
District F,2
District Heights,276
Dittmer,8
Divernon,18
Divide,102
Dix,27
Dix Hills,24
Dixon,924
Dixon Springs,2
Dobbins,39
Dobbs Ferry,82
Dobson,65
Doddridge,11
Dodge,2
Dodge Center,69
Dodge City,1
Dodgeville,2
Dodson,1
Doerun,4
Dolan Springs,43
Dolores,7
Dolphin,27
Dolton,27
Donalds,76
Donaldson,40
Donaldsonville,2
Donalsonville,1
Donegal,65
Dongola,8
Doniphan,5
Donna,11
Donnellson,16
Donnelly,3
Doon,3
Dora,11
Doral,1118
Dorchester,1049
Dorchester Center,308
Dorena,1
Dornsife,15
Dorris,48
Dos Palos,292
Dos Rios,45
Doswell,373
Dothan,1113
Double Springs,11
Douglas,61
Douglas City,75
Douglassville,56
Douglasville,186
Dove Creek,32
Dover,933
Dover AFB,3
Dover Plains,35
Dovray,3
Dowagiac,18
Dowelltown,7
Downers Grove,724
Downey,2118
Downieville,9
Downingtown,817
Downs,12
Downsville,1
Dows,17
Doyle,186
Doylesburg,12
Doylestown,66
Dozier,5
Dracut,2
Dragoon,20
Drain,78
Drake,20
Drakes Branch,23
Drakesboro,1
Draper,915
Drasco,6
Dravosburg,21
Drayton,5
Dresden,5
Dresher,128
Drewryville,29
Drewsey,55
Drexel Hill,88
Drifting,4
Driftwood,15
Driggs,2
Dripping Springs,25
Driscoll,10
Drummond,253
Drummonds,1
Drumore,6
Drums,148
Dry Branch,46
Dry Fork,13
Dry Ridge,2
Dry Run,3
Drybranch,18
Dryden,18
Drytown,11
Du Bois,304
Duanesburg,100
Duarte,583
Dublin,1115
Dubois,118
Dubuque,21
Duchesne,100
Duck,3
Duck Creek Village,2
Duck River,5
Ducor,28
Dudley,55
Due West,19
Duette,5
Duff,2
Duffield,28
Dufur,48
Dugger,6
Dugspur,2
Dugway,88
Duke Center,35
Dulce,2
Duluth,1238
Duluth city,19
Dumas,7
Dumfries,935
Dumont,60
Dunbar,107
Duncan,1357
Duncannon,232
Duncans Mills,13
Duncansville,346
Duncanville,496
Dundalk,196
Dundas,90
Dundee,178
Dunedin,279
Dunellen,21
Dunkirk,140
Dunlap,65
Dunmore,1
Dunn,645
Dunn Center,2
Dunn Loring,208
Dunnell,5
Dunnellon,295
Dunnigan,95
Dunnsville,46
Dunseith,1
Dunsmuir,150
Dunstable,1
Dupo,22
Dupont,158
Duquesne,37
Durand,36
Durango,39
Durant,29
Durbin,1
Durham,1777
Durhamville,31
Durkee,23
Dushore,86
Duson,68
Dutch Flat,125
Dutch John,12
Dutton,38
Duvall,11
Duxbury,136
Dwight,47
Dyersburg,1
Dyersville,11
Dyess,20
Dyke,6
Dysart,40
Eads,34
Eagar,9
Eagle,296
Eagle Bend,8
Eagle Bridge,16
Eagle Creek,69
Eagle Lake,65
Eagle Mountain,15
Eagle Point,239
Eagle Rock,52
Eagle Springs,23
Eagles Mere,4
Eagleville,6
Earl Park,2
Earle,10
Earleton,2
Earleville,7
Earlham,38
Earlimart,405
Earling,3
Earlville,2
Early,10
Early Branch,46
Earlysville,30
Earp,50
Earth City,34
Easley,1414
East Alton,1
East Amherst,3
East Aurora,9
East Bank,2
East Bend,12
East Berlin,110
East Bernard,5
East Berne,13
East Bernstadt,16
East Bethany,1
East Boston,60
East Brady,2
East Branch,8
East Brookfield,2
East Brunswick,469
East Canaan,1
East Canton,5
East Carbon,17
East Carondelet,2
East Chatham,47
East Chicago,6
East Dover,1
East Dublin,13
East Dubuque,8
East Durham,6
East Earl,91
East Ellijay,3
East Elmhurst,404
East Falmouth,15
East Flat Rock,9
East Freedom,127
East Fultonham,2
East Glacier Park,18
East Granby,31
East Grand Forks,1
East Greenbush,74
East Greenville,52
East Greenwich,104
East Haddam,7
East Hampstead,4
East Hampton,32
East Hanover,13
East Hartford,1137
East Haven,203
East Hazel Crest,2
East Helena,80
East Islip,52
East Kern,2
East Killingly,1
East Kingston,1
East Lansing,53
East Leroy,1
East Liberty,3
East Linn,3
East Liverpool,10
East Longmeadow,5
East Lyme,150
East Marion,3
East Mc Keesport,10
East Meadow,91
East Meredith,3
East Millsboro,1
East Moline,13
East Montpelier,2
East Moriches,3
East Nassau,31
East New Market,48
East Norriton,3
East Northport,11
East Norwich,3
East Orange,630
East Palatka,93
East Palestine,4
East Palo Alto,23
East Patchogue,10
East Peoria,233
East Petersburg,36
East Pittsburgh,17
East Providence,170
East Quogue,15
East Rancho Dominguez,3
East Rochester,88
East Rockaway,1
East Rutherford,370
East Saint Louis,339
East San Gabriel Valley,5
East Sandwich,11
East Schodack,2
East Setauket,23
East Sierra,6
East Smithfield,2
East Springfield,3
East St Louis,154
East St. Louis,1
East Stroudsburg,119
East Syracuse,186
East Taunton,5
East Tawas,2
East Tehama,38
East Troy,6
East Wakefield,1
East Walpole,23
East Wareham,2
East Waterford,16
East Wenatchee,1
East Weymouth,5
East Whatcom,2
East Windsor,109
Eastaboga,30
Eastanollee,6
Eastchester,12
Eastham,5
Eastlake,32
Eastland,25
Eastman,13
Easton,794
Eastover,308
Eastpoint,9
Eastpointe,2
Eastport,14
Eastview,2
Eaton,54
Eaton Park,2
Eaton Rapids,11
Eatonton,30
Eatontown,297
Eatonville,57
Eau Claire,86
Ebensburg,247
Ebony,5
Ebro,42
Echo,171
Echo Lake,87
Echola,5
Eckerman,1
Eckerty,2
Eclectic,38
Economy,7
Edcouch,10
Eddington,1
Eddy,5
Eddystone,1
Eddyville,77
Eden,167
Eden Prairie,641
Eden Valley,17
Edenton,16
Edgar,8
Edgefield,82
Edgeley,9
Edgemont,4
Edgemoor,74
Edgerton,126
Edgewater,98
Edgewood,203
Edina,9
Edinboro,26
Edinburg,295
Edinburgh,93
Edison,1107
Edisto Island,6
Edmeston,5
Edmond,357
Edmonds,23
Edmonton,1
Edmore,3
Edna,8
Edon,62
Edward,2
Edwards,265
Edwardsville,79
Effie,11
Effingham,311
Effort,4
Efland,105
Egan,26
Egg Harbor City,69
Egg Harbor Township,122
Egg Harbor Twp,91
Eglin AFB,183
Eglin Air Force Base,44
Eglon,3
Egnar,9
Ehrenberg,21
Ehrhardt,41
Eight Mile,47
Eighty Four,53
Eitzen,1
Ekalaka,1
Ekron,4
El Campo,3
El Cerrito,109
El Dorado,187
El Dorado Hills,583
El Granada,11
El Macero,4
El Mirage,181
El Monte,1329
El Nido,55
El Paso,2522
El Portal,23
El Prado,1
El Reno,20
El Segundo,209
El Sobrante,394
Eland,4
Elba,33
Elbe,2
Elberfeld,6
Elberon,11
Elberta,17
Elberton,38
Elbow Lake,27
Elbridge,7
Elburn,20
Eldon,6
Eldora,3
Eldorado,9
Eldorado Springs,1
Eldred,43
Eldridge,24
Electra,13
Elgin,1440
Elizabeth,979
Elizabeth City,46
Elizabethport,249
Elizabethton,12
Elizabethtown,572
Elizabethville,9
Elizaville,4
Elk,30
Elk City,2
Elk Creek,9
Elk Falls,3
Elk Garden,2
Elk Grove,1324
Elk Grove Village,203
Elk Mound,39
Elk Mountain,20
Elk Park,4
Elk River,772
Elkader,4
Elkhart,124
Elkhart Lake,10
Elkhorn,38
Elkin,48
Elkins,10
Elkins Park,590
Elkland,16
Elkmont,53
Elko,187
Elko New Market,123
Elkridge,463
Elkton,682
Elkview,126
Elkwood,30
Ellabell,78
Ellaville,12
Ellenboro,30
Ellenburg Depot,3
Ellendale,218
Ellensburg,14
Ellenton,463
Ellenville,4
Ellenwood,172
Ellerbe,19
Ellerslie,1
Ellettsville,4
Ellicott City,438
Ellicottville,3
Ellijay,85
Ellington,26
Elliott,4
Elliottsburg,27
Ellison Bay,3
Elliston,341
Ellisville,12
Elloree,87
Ellsworth,83
Ellwood City,75
Elm City,56
Elm Creek,5
Elm Grove,1
Elm Mott,2
Elma,30
Elmendorf,15
Elmer,37
Elmhurst,1511
Elmhurst Township,4
Elmira,28
Elmo,28
Elmont,37
Elmora,9
Elmore,96
Elmsford,588
Elmwood,1
Elmwood Park,244
Elnora,13
Elon,19
Eloy,122
Elrama,2
Elrod,18
Elrosa,3
Elsinore,1
Elsmere,10
Elverson,75
Elverta,177
Elwood,32
Ely,124
Elyria,154
Elysburg,81
Elysian,18
Embarrass,20
Embudo,1
Emden,1
Emelle,5
Emerado,11
Emerald Hills,15
Emerald Isle,2
Emerson,13
Emery,1
Emeryville,1274
Emigrant,20
Emigrant Gap,77
Emily,11
Emlenton,133
Emmaus,42
Emmet,10
Emmetsburg,7
Emmett,5
Emmitsburg,64
Emmons,1
Empire,58
Emporia,258
Emporium,39
Encinal,6
Encinitas,715
Encino,1258
Endeavor,8
Enderlin,7
Endicott,40
Enfield,199
Engadine,1
England,8
Englewood,1415
Englewood Cliffs,31
English,29
Englishtown,120
Enid,1
Enigma,6
Ennice,8
Ennis,100
Enola,140
Enon,14
Enon Valley,24
Enoree,266
Enterprise,266
Entiat,1
Enumclaw,41
Enville,1
Epes,17
Ephraim,30
Ephrata,710
Epping,17
Epsom,6
Epworth,5
Equality,1
Erie,422
Erin,21
Erlanger,206
Ernul,1
Erskine,18
Erving,1
Erwin,42
Erwinna,1
Escalante,7
Escalon,297
Escondido,2127
Eskdale,65
Esko,122
Esmont,8
Esopus,2
Espanola,21
Esparto,110
Esperance,17
Essex,224
Essex Junction,1
Essington,263
Estacada,86
Estero,982
Estero Island,2
Estes Park,17
Estill,66
Estill Springs,7
Estillfork,1
Ethel,6
Ethelsville,7
Ethridge,1
Etna,64
Etoile,1
Etowah,21
Etters,119
Euclid,80
Eudora,33
Eufaula,34
Eugene,1002
Euless,218
Eunice,2
Eure,13
Eureka,651
Eureka Springs,33
Eustis,154
Eutaw,63
Eutawville,108
Evans,18
Evans City,6
Evans Mills,9
Evansdale,28
Evanston,120
Evansville,297
Evart,1
Eveleth,132
Evening Shade,13
Evensville,3
Everett,858
Evergreen,290
Evergreen Park,4
Everson,47
Everton,7
Evington,31
Ewing,20
Excelsior,126
Exchange,11
Exeter,355
Exira,1
Exmore,42
Export,68
Exton,637
Eyota,126
Fabens,7
Faber,39
Factoryville,14
Fair Bluff,2
Fair Grove,14
Fair Haven,1
Fair Lawn,110
Fair Oaks,1396
Fair Play,309
Fairborn,47
Fairburn,192
Fairchild Air Force Base,1
Fairdale,51
Fairfax,3522
Fairfax Station,414
Fairfield,3130
Fairhaven,4
Fairhope,33
Fairland,29
Fairlee,1
Fairless Hills,11
Fairmont,345
Fairmount,17
Fairmount City,31
Fairmount Heights,2
Fairplay,178
Fairport,231
Fairview,379
Fairview Heights,70
Faison,56
Falconer,1
Falfurrias,7
Falkville,71
Fall Branch,31
Fall City,13
Fall Creek,3
Fall River,36
Fall River Mills,40
Fallbrook,1840
Fallentimber,36
Falling Waters,94
Fallon,220
Falls Church,1484
Falls Creek,53
Falls Of Rough,2
Falls Village,6
Fallsburg,2
Fallston,35
Falmouth,18
Fancy Gap,155
Fannettsburg,2
Fanning Springs,11
Far Hills,33
Far Rockaway,14
Fargo,206
Faribault,480
Farina,28
Farley,4
Farmer City,14
Farmersburg,3
Farmersville,44
Farmingdale,317
Farmington,1447
Farmington Hills,2
Farmingville,38
Farmland,9
Farmville,109
Farnham,29
Farragut,45
Farson,1
Farwell,15
Fate,10
Faucett,7
Faulkner,2
Faunsdale,3
Fawn Grove,7
Fayette,31
Fayette City,7
Fayetteville,911
Feasterville Trevose,136
Feasterville-Trevose,70
Federal Way,549
Federalsburg,90
Feeding Hills,3
Felda,6
Fellows,36
Fellsmere,95
Felton,268
Felts Mills,3
Fenelton,3
Fennville,60
Fenton,549
Fenwick,1
Ferdinand,16
Fergus Falls,98
Ferguson,2
Fern Park,7
Fernandina Beach,157
Ferndale,168
Fernley,122
Ferris,91
Ferron,76
Ferrum,22
Fessenden,2
Festus,77
Feura Bush,28
Fiddletown,38
Fieldale,41
Fields,2
Fields Landing,2
Fife,166
Filer,3
Fillmore,617
Fincastle,156
Findlay,55
Fingal,1
Finksburg,38
Finland,2
Finlayson,77
Finleyville,27
Fircrest,2
Firebaugh,337
Firth,43
Fish Camp,28
Fish Creek,10
Fisher,7
Fishers,150
Fishersville,139
Fishertown,4
Fisherville,10
Fishing Creek,1
Fishkill,283
Fishtail,5
Fiskdale,6
Fitchburg,43
Fithian,8
Fitzgerald,4
Fitzpatrick,8
Fitzwilliam,3
Five Points,52
Flag Pond,12
Flagler,14
Flagler Beach,84
Flagstaff,801
Flanders,28
Flasher,2
Flat Rock,199
Flat Top,54
Flatonia,8
Flatwoods,23
Fleetwood,73
Fleming,27
Fleming Island,147
Flemington,16
Fletcher,538
Flint,3931
Flint Hill,2
Flinton,9
Flintstone,85
Flintville,5
Flomaton,3
Floodwood,84
Flora,6
Florahome,22
Floral City,50
Floral Park,105
Florala,1
Florence,3531
Florham Park,65
Florida,3
Florida City,72
Florissant,146
Floriston,266
Flossmoor,2
Flournoy,1
Flourtown,108
Flovilla,14
Floweree,11
Flowery Branch,55
Flowood,112
Floyd,54
Floydada,4
Floyds Knobs,28
Flushing,2424
Fluvanna,1
Fogelsville,47
Folcroft,25
Foley,110
Folkston,12
Follansbee,1
Folly Beach,3
Folsom,277
Fombell,6
Fond du Lac,92
Fonda,12
Fontana,3298
Foothill Ranch,60
Forbes,1
Forbestown,16
Force,4
Ford,20
Ford City,3
Fordoche,6
Fords,264
Fordsville,1
Fordyce,25
Forest,147
Forest City,61
Forest Grove,115
Forest Hill,58
Forest Hills,536
Forest Home,1
