City,start_month,Total Accidents
Addy,7,2
Addy,11,1
Addyston,12,1
Adel,1,16
Adel,2,17
Adel,3,8
Adel,4,3
Adel,5,11
Adel,6,9
Adel,7,7
Adel,8,12
Adel,9,11
Adel,10,10
Adel,11,13
Adel,12,18
Adelanto,1,19
Adelanto,2,22
Adelanto,3,10
Adelanto,4,14
Adelanto,5,21
Adelanto,6,23
Adelanto,7,10
Adelanto,8,15
Adelanto,9,18
Adelanto,10,13
Adelanto,11,2
Adelanto,12,25
Adelphi,1,1
Adelphi,4,6
Adelphi,6,2
Adelphi,8,1
Adelphi,10,9
Adelphi,11,2
Adelphi,12,1
Adin,2,2
Adin,3,1
Adin,10,2
Adin,11,2
Adin,12,6
Adkins,2,1
Adrian,1,61
Adrian,2,28
Adrian,3,7
Adrian,4,16
Adrian,5,6
Adrian,6,14
Adrian,7,4
Adrian,8,2
Adrian,9,4
Adrian,10,8
Adrian,11,11
Adrian,12,29
Advance,1,36
Advance,2,7
Advance,3,3
Advance,4,10
Advance,5,9
Advance,6,2
Advance,7,7
Advance,8,11
Advance,9,1
Advance,10,1
Advance,11,11
Advance,12,10
Afton,1,16
Afton,2,19
Afton,3,11
Afton,4,10
Afton,5,10
Afton,6,18
Afton,7,12
Afton,8,20
Afton,9,30
Afton,10,49
Afton,11,31
Afton,12,36
Agate,1,1
Agate,2,2
Agate,4,4
Agate,5,6
Agate,9,2
Agate,11,6
Agate,12,2
Agawam,5,1
Agency,1,2
Agency,2,1
Agency,10,2
Agency,11,1
Agoura Hills,1,74
Agoura Hills,2,53
Agoura Hills,3,41
Agoura Hills,4,18
Agoura Hills,5,36
Agoura Hills,6,30
Agoura Hills,7,22
Agoura Hills,8,26
Agoura Hills,9,25
Agoura Hills,10,28
Agoura Hills,11,21
Agoura Hills,12,54
Aguila,1,2
Aguila,10,3
Aguilar,1,1
Aguilar,2,3
Aguilar,3,2
Aguilar,5,3
Aguilar,7,2
Aguilar,8,3
Aguilar,9,1
Aguilar,10,5
Aguilar,12,2
Ahoskie,1,1
Ahoskie,2,3
Ahoskie,3,4
Ahoskie,4,4
Ahoskie,7,4
Ahoskie,11,8
Ahoskie,12,6
Ahwahnee,1,9
Ahwahnee,2,5
Ahwahnee,3,6
Ahwahnee,4,1
Ahwahnee,5,3
Ahwahnee,6,1
Ahwahnee,7,4
Ahwahnee,8,10
Ahwahnee,9,4
Ahwahnee,10,3
Ahwahnee,11,4
Ahwahnee,12,9
Aiken,1,135
Aiken,2,98
Aiken,3,49
Aiken,4,66
Aiken,5,82
Aiken,6,91
Aiken,7,56
Aiken,8,89
Aiken,9,91
Aiken,10,56
Aiken,11,100
Aiken,12,130
Ailey,6,2
Ailey,7,1
Ailey,8,1
Ainsworth,1,2
Ainsworth,2,6
Ainsworth,5,2
Ainsworth,6,1
Ainsworth,10,2
Ainsworth,11,1
Airmont,2,1
Airmont,4,2
Airmont,8,1
Airmont,11,1
Airville,1,5
Airville,3,3
Airville,5,3
Airville,7,2
Airville,8,5
Airville,11,3
Airway Heights,1,1
Airway Heights,2,2
Airway Heights,4,1
Airway Heights,5,1
Airway Heights,8,2
Airway Heights,9,1
Airway Heights,10,1
Airway Heights,12,1
Aitkin,1,27
Aitkin,2,8
Aitkin,3,6
Aitkin,4,8
Aitkin,5,8
Aitkin,6,19
Aitkin,7,14
Aitkin,8,21
Aitkin,9,7
Aitkin,10,3
Aitkin,11,24
Aitkin,12,20
Ajo,1,12
Ajo,2,7
Ajo,3,14
Ajo,4,8
Ajo,5,12
Ajo,6,7
Ajo,7,6
Ajo,8,5
Ajo,9,10
Ajo,10,8
Ajo,11,8
Ajo,12,7
Akeley,1,18
Akeley,2,14
Akeley,3,2
Akeley,4,6
Akeley,5,5
Akeley,6,5
Akeley,7,3
Akeley,8,3
Akeley,9,4
Akeley,10,6
Akeley,11,3
Akeley,12,19
Akron,1,226
Akron,2,108
Akron,3,83
Akron,4,107
Akron,5,91
Akron,6,108
Akron,7,115
Akron,8,132
Akron,9,83
Akron,10,98
Akron,11,205
Akron,12,210
Alabaster,1,24
Alabaster,2,19
Alabaster,3,35
Alabaster,4,32
Alabaster,5,19
Alabaster,6,15
Alabaster,7,37
Alabaster,8,28
Alabaster,9,18
Alabaster,10,12
Alabaster,11,15
Alabaster,12,15
Alachua,1,20
Alachua,2,33
Alachua,3,30
Alachua,4,29
Alachua,5,17
Alachua,6,23
Alachua,7,42
Alachua,8,29
Alachua,9,24
Alachua,10,26
Alachua,11,47
Alachua,12,27
Alameda,2,5
Alameda,3,3
Alameda,4,4
Alameda,5,3
Alameda,6,5
Alameda,7,4
Alameda,8,1
Alameda,9,1
Alameda,12,1
Alamo,1,62
Alamo,2,60
Alamo,3,51
Alamo,4,59
Alamo,5,63
Alamo,6,46
Alamo,7,44
Alamo,8,43
Alamo,9,74
Alamo,10,48
Alamo,11,77
Alamo,12,72
Alamogordo,11,2
Alamogordo,12,1
Alamosa,1,3
Alamosa,2,4
Alamosa,3,5
Alamosa,4,2
Alamosa,5,6
Alamosa,6,6
Alamosa,8,1
Alamosa,11,11
Alanson,1,2
Alanson,2,5
Alanson,5,1
Alanson,6,1
Alanson,7,1
Alanson,11,9
Alapaha,1,1
Alapaha,7,3
Alapaha,8,1
Alapaha,9,1
Albany,1,310
Albany,2,380
Albany,3,181
Albany,4,246
Albany,5,167
Albany,6,209
Albany,7,163
Albany,8,223
Albany,9,185
Albany,10,184
Albany,11,253
Albany,12,351
Albemarle,2,2
Albemarle,3,3
Albemarle,5,2
Albemarle,7,4
Albemarle,9,3
Albemarle,12,4
Albers,1,2
Albers,2,1
Albers,3,2
Albers,4,4
Albers,5,1
Albers,7,1
Albers,8,2
Albers,9,1
Albers,11,1
Albert City,2,2
Albert City,11,4
Albert Lea,1,86
Albert Lea,2,65
Albert Lea,3,36
Albert Lea,4,8
Albert Lea,5,11
Albert Lea,6,21
Albert Lea,7,14
Albert Lea,8,12
Albert Lea,9,11
Albert Lea,10,11
Albert Lea,11,30
Albert Lea,12,101
Alberta,1,11
Alberta,2,9
Alberta,3,19
Alberta,4,9
Alberta,5,8
Alberta,6,3
Alberta,7,13
Alberta,8,13
Alberta,9,14
Alberta,10,12
Alberta,11,6
Alberta,12,9
Alberton,1,28
Alberton,2,19
Alberton,3,1
Alberton,4,12
Alberton,7,2
Alberton,8,3
Alberton,9,9
Alberton,10,6
Alberton,11,10
Alberton,12,60
Albertson,1,4
Albertson,2,7
Albertson,3,5
Albertson,4,1
Albertson,6,3
Albertson,7,2
Albertson,8,4
Albertson,9,4
Albertson,12,1
Albertville,1,27
Albertville,2,21
Albertville,3,14
Albertville,4,13
Albertville,5,14
Albertville,6,18
Albertville,7,20
Albertville,8,20
Albertville,9,30
Albertville,10,11
Albertville,11,10
