City,Total Accidents,start_hour
Ainsworth,1,2
Ainsworth,2,9
Ainsworth,4,12
Ainsworth,1,13
Ainsworth,2,17
Ainsworth,2,19
Airmont,1,3
Airmont,2,6
Airmont,1,10
Airmont,1,12
Airville,1,0
Airville,1,2
Airville,2,3
Airville,1,4
Airville,1,5
Airville,3,6
Airville,1,7
Airville,1,8
Airville,1,9
Airville,3,11
Airville,1,15
Airville,1,17
Airville,3,18
Airville,1,21
Airway Heights,1,5
Airway Heights,3,6
Airway Heights,1,7
Airway Heights,2,9
Airway Heights,1,14
Airway Heights,2,16
Aitkin,1,0
Aitkin,2,3
Aitkin,4,4
Aitkin,4,5
Aitkin,17,6
Aitkin,13,7
Aitkin,14,8
Aitkin,9,9
Aitkin,10,10
Aitkin,7,11
Aitkin,5,12
Aitkin,6,13
Aitkin,11,14
Aitkin,8,15
Aitkin,6,16
Aitkin,10,17
Aitkin,10,18
Aitkin,7,19
Aitkin,10,20
Aitkin,3,21
Aitkin,8,22
Ajo,5,0
Ajo,2,3
Ajo,1,4
Ajo,1,5
Ajo,1,6
Ajo,2,7
Ajo,16,8
Ajo,10,9
Ajo,6,10
Ajo,3,11
Ajo,1,12
Ajo,8,13
Ajo,5,14
Ajo,12,15
Ajo,4,16
Ajo,5,17
Ajo,4,18
Ajo,3,19
Ajo,4,20
Ajo,4,21
Ajo,3,22
Ajo,4,23
Akeley,1,0
Akeley,1,2
Akeley,2,3
Akeley,1,4
Akeley,3,5
Akeley,3,6
Akeley,6,7
Akeley,3,8
Akeley,5,9
Akeley,5,10
Akeley,13,12
Akeley,3,13
Akeley,4,15
Akeley,2,16
Akeley,6,17
Akeley,11,18
Akeley,2,19
Akeley,8,20
Akeley,5,21
Akeley,4,22
Akron,1,0
Akron,4,1
Akron,2,2
Akron,18,4
Akron,31,5
Akron,89,6
Akron,198,7
Akron,168,8
Akron,55,9
Akron,44,10
Akron,54,11
Akron,62,12
Akron,81,13
Akron,82,14
Akron,124,15
Akron,157,16
Akron,140,17
Akron,118,18
Akron,59,19
Akron,29,20
Akron,22,21
Akron,20,22
Akron,8,23
Alabaster,1,1
Alabaster,1,3
Alabaster,4,4
Alabaster,4,5
Alabaster,2,6
Alabaster,16,7
Alabaster,10,8
Alabaster,14,9
Alabaster,13,10
Alabaster,18,11
Alabaster,14,12
Alabaster,21,13
Alabaster,24,14
Alabaster,23,15
Alabaster,27,16
Alabaster,27,17
Alabaster,20,18
Alabaster,5,19
Alabaster,10,20
Alabaster,4,21
Alabaster,10,22
Alabaster,1,23
Alachua,2,0
Alachua,5,1
Alachua,9,2
Alachua,4,3
Alachua,16,4
Alachua,14,5
Alachua,20,6
Alachua,23,7
Alachua,20,8
Alachua,10,9
Alachua,16,10
Alachua,6,11
Alachua,19,12
Alachua,27,13
Alachua,19,14
Alachua,23,15
Alachua,18,16
Alachua,21,17
