City,Severity,Total Accidents
Balaton,2,26
Balch Springs,2,243
Balch Springs,3,218
Balch Springs,4,3
Bald Knob,2,23
Bald Knob,4,2
Baldwin,1,1
Baldwin,2,104
Baldwin,3,9
Baldwin,4,1
Baldwin City,4,1
Baldwin Park,1,2
Baldwin Park,2,2373
Baldwin Park,3,539
Baldwin Park,4,8
Baldwin Place,2,16
Baldwinsville,2,30
Baldwinsville,4,5
Baldwinville,2,1
Ball Ground,2,14
Ball Ground,3,2
Ball Ground,4,3
Ballantine,2,37
Ballard,2,1
Ballico,1,1
Ballico,2,52
Ballston Lake,2,108
Ballston Lake,3,1
Ballston Lake,4,3
Ballston Spa,2,471
Ballston Spa,3,10
Ballston Spa,4,13
Ballwin,2,39
Ballwin,3,1
Ballwin,4,2
Balmorhea,2,5
Balmorhea,3,3
Balmorhea,4,3
Balsam Grove,2,3
Balsam Grove,4,1
Baltimore,1,47
Baltimore,2,2014
Baltimore,3,286
Baltimore,4,120
Bamberg,1,3
Bamberg,2,100
Bancroft,2,12
Bancroft,3,3
Bancroft,4,1
Bandon,2,109
Bandon,3,1
Bandon,4,3
Bandy,2,3
Bandy,4,1
Bangor,1,1
Bangor,2,55
Bangor,3,10
Bangor,4,6
Banks,2,174
Banks,3,2
Banks,4,4
Bankston,2,2
Banner,2,12
Banner,4,2
Banner Elk,2,13
Bannockburn,2,3
Bapchule,2,69
Bapchule,3,2
Bapchule,4,1
Bar Harbor,2,1
Baraboo,2,50
Baraboo,3,4
Baraboo,4,2
Barberton,1,2
Barberton,2,42
Barberton,3,13
Barberton,4,1
Barboursville,2,172
Barboursville,4,8
Barclay,2,7
Barclay,4,3
Barco,2,4
Bard,2,3
Bard,3,1
Bardstown,2,4
Bardstown,4,1
Bardwell,2,1
Bardwell,4,2
Bargersville,2,2
Barhamsville,1,1
Barhamsville,2,23
Barhamsville,4,7
Baring,2,4
Barker,2,3
Barker,4,2
Barkhamsted,2,2
Barkhamsted,4,1
Barksdale,2,3
Barksdale AFB,2,4
Barksdale AFB,3,9
Barksdale AFB,4,1
Barling,2,2
Barling,4,2
Barnardsville,2,1
Barnardsville,4,1
Barnegat,2,57
Barnegat,4,4
Barnesville,2,116
Barnesville,3,18
Barnesville,4,10
Barnet,3,1
Barnett,1,1
Barnett,2,2
Barneveld,1,1
Barneveld,2,22
Barney,2,16
Barney,4,7
Barnhart,2,13
Barnhart,3,15
Barnhart,4,1
Barnhill,2,1
Barnhill,3,9
Barnstead,2,1
Barnum,2,62
Barnum,3,3
Barnwell,1,9
Barnwell,2,167
Barren Springs,2,1
Barren Springs,4,1
Barrett,2,7
Barrington,1,3
Barrington,2,609
Barrington,3,35
Barrington,4,8
Barry,3,6
Barstow,1,3
Barstow,2,336
Barstow,3,20
Barstow,4,2
Bartlett,1,29
Bartlett,2,253
Bartlett,3,1
Bartlett,4,3
Barto,1,1
Barto,2,23
Barto,4,2
Barton,2,3
Barton,4,1
Bartonsville,2,14
Bartonsville,3,2
Bartonsville,4,1
Bartow,1,7
Bartow,2,77
Bartow,3,1
Bartow,4,5
Basalt,2,1
Bascom,2,15
Basehor,2,12
Basehor,3,1
Basehor,4,1
Basin,2,19
Basin,4,1
Baskerville,2,16
Baskerville,4,6
Basking Ridge,2,88
Basking Ridge,3,28
Basking Ridge,4,3
Basom,4,1
Bass Lake,1,1
