City,Severity,Total Accidents
Crescent Mills,2,7
Crescent Mills,4,1
Crescent Springs,1,2
Crescent Springs,2,8
Crescent Valley,2,121
Crescent Valley,3,13
Crescent Valley,4,3
Cresco,2,8
Cresco,4,3
Cresson,2,67
Cresson,4,7
Cressona,2,3
Cressona,4,3
Crest Hill,2,3
Crest Hill,4,2
Crested Butte,2,2
Crestline,1,4
Crestline,2,370
Crestline,3,1
Crestline,4,10
Creston,1,1
Creston,2,59
Crestview,1,5
Crestview,2,488
Crestview,3,28
Crestview,4,13
Crestview Hills,1,1
Crestview Hills,2,13
Crestview Hills,3,21
Crestwood,2,36
Crestwood,3,8
Crestwood,4,5
Creswell,2,147
Creswell,3,1
Creswell,4,2
Crete,2,20
Crete,3,1
Creve Coeur,2,19
Creve Coeur,3,19
Crewe,2,55
Crewe,4,15
Criders,2,2
Criders,4,2
Crimora,2,25
Crimora,4,8
Cripple Creek,2,7
Cripple Creek,4,2
Crisfield,2,9
Crisfield,4,6
Crittenden,1,1
Crittenden,2,26
Crittenden,3,1
Crittenden,4,1
Crockett,1,1
Crockett,2,161
Crockett,3,30
Crockett,4,7
Crofton,1,2
Crofton,2,16
Crofton,4,1
Crompond,2,6
Cromwell,2,370
Cromwell,3,48
Cromwell,4,9
Crook,1,1
Crook,2,11
Crook,3,2
Crook,4,5
Crooksville,1,1
Cropseyville,2,8
Cropseyville,4,1
Cropwell,2,2
Crosby,2,48
Crosby,3,1
Crosby,4,1
Cross,1,10
Cross,2,119
Cross,4,1
Cross City,1,3
Cross City,2,28
Cross Fork,2,3
Cross Hill,1,2
Cross Hill,2,64
Cross Hill,4,5
Cross Junction,2,30
Cross Junction,3,1
Cross Junction,4,4
Cross Plains,2,54
Cross Plains,3,11
Cross Plains,4,4
Cross River,2,40
Cross River,4,2
Crossett,2,5
Crossett,4,2
Crossnore,2,1
Crossroads,2,1
Crossville,1,1
Crossville,2,159
Crossville,3,10
Crossville,4,7
Crothersville,2,35
Crothersville,3,7
Crothersville,4,7
Croton Falls,2,6
Croton Falls,4,3
Croton on Hudson,2,47
Croton-on-Hudson,2,43
Crouse,2,6
Crouse,4,1
Crow Agency,2,29
Crowley,2,40
Crowley,3,4
Crowley,4,3
Crown,2,3
Crown Point,2,109
Crown Point,3,23
Crown Point,4,8
Crownsville,2,138
Crownsville,3,10
Crownsville,4,8
Crows Landing,1,3
Crows Landing,2,118
Crows Landing,4,2
Croydon,2,8
Croydon,3,3
Crozet,2,101
Crozet,3,33
Crozet,4,25
Crozier,2,3
Crum Lynne,2,100
Crum Lynne,3,6
Crum Lynne,4,4
Crumpler,2,5
Crystal Bay,1,1
Crystal Bay,2,24
Crystal Bay,4,1
Crystal Beach,1,1
Crystal Beach,2,11
Crystal City,2,5
Crystal City,4,4
Crystal Lake,1,1
Crystal Lake,2,15
Crystal Lake,4,1
Crystal River,1,2
Crystal River,2,150
Crystal River,3,1
Crystal River,4,2
Crystal Spring,2,55
Crystal Spring,3,4
Crystal Spring,4,1
Crystal Springs,2,16
Crystal Springs,3,3
Crystal Springs,4,6
Cuba,2,45
Cuba,3,7
Cuba,4,4
Cubero,2,28
Cubero,3,3
Cubero,4,1
Cudahy,2,14
Cuddebackville,2,3
Cuddebackville,4,2
Cuervo,2,19
Cuervo,3,2
Cuervo,4,1
Culbertson,2,8
Culdesac,2,5
Culdesac,4,1
Cullen,2,3
Cullen,4,2
Culleoka,2,6
Culleoka,4,1
Cullman,1,10
Cullman,2,513
Cullman,3,60
Cullman,4,5
Culloden,2,43
Culloden,4,2
Cullom,2,1
Cullowhee,2,25
Cullowhee,4,2
Culpeper,2,164
Culpeper,3,1
Culpeper,4,33
Culver,2,133
Culver,3,1
Culver,4,1
Culver City,1,3
Culver City,2,890
Culver City,3,254
Culver City,4,3
Cumberland,2,201
Cumberland,3,26
Cumberland,4,55
Cumberland Center,3,1
Cumberland City,2,4
Cumberland City,4,2
Cumberland Furnace,2,7
Cumberland Furnace,3,1
Cumberland Furnace,4,1
Cumby,2,5
Cumming,1,1
Cumming,2,134
Cumming,3,8
Cumming,4,5
Cummings,2,16
Cummington,2,1
Cunningham,2,4
Cunningham,4,1
Cupertino,1,6
Cupertino,2,527
Cupertino,3,36
Cupertino,4,2
Curlew,2,1
Currie,2,24
Currie,3,1
Currie,4,5
Currituck,2,3
Currituck,4,2
Curtice,2,1
Curtis Bay,2,310
Curtis Bay,3,51
Curtis Bay,4,29
Curtiss,2,1
Curtiss,3,1
Curwensville,2,82
Curwensville,3,2
Curwensville,4,4
Cushing,1,1
Cushing,2,48
Cushing,4,1
Cusick,2,8
Cusick,4,1
Cusseta,2,26
Cusseta,3,10
Cusseta,4,5
Custer,2,45
Custer,3,1
Custer City,2,7
Cut Bank,2,21
Cut Bank,4,2
Cutchogue,2,4
Cuthbert,2,10
Cuthbert,4,7
Cutler,1,1
Cutler,2,152
Cutler,4,14
Cutler Bay,2,1255
Cutler Bay,4,1
Cuyahoga Falls,1,1
Cuyahoga Falls,2,51
Cuyama,2,6
Cyclone,2,24
Cyclone,4,3
Cygnet,2,4
Cygnet,3,2
Cypress,1,4
Cypress,2,217
Cypress,3,3
Cyrus,2,5
Dacula,1,1
Dacula,2,57
Dacula,3,3
Dacula,4,6
Dade City,1,19
Dade City,2,492
Dade City,3,20
Dade City,4,11
Dadeville,2,6
Dadeville,4,1
Dafter,2,2
Dafter,3,1
Dagsboro,2,4
Dagsboro,4,2
Dahlgren,2,7
Dahlgren,4,2
Dahlonega,2,6
Dahlonega,4,3
Dairy,2,18
Dakota,2,174
Dakota,3,1
Dakota,4,1
Dakota City,2,1
Dalbo,2,8
Dale,1,3
Dale,2,26
Dale,3,4
Dale,4,6
Daleville,2,118
Daleville,3,11
Daleville,4,13
Dalhart,2,10
Dalhart,3,1
Dalhart,4,5
Dallas,1,970
Dallas,2,35025
Dallas,3,6600
Dallas,4,234
Dallas Center,2,2
Dallastown,1,4
Dallastown,2,55
Dallastown,3,2
Dallesport,2,8
Dalmatia,2,31
Dalmatia,4,2
Dalton,2,226
Dalton,3,27
Dalton,4,11
Daly City,1,7
Daly City,2,504
Daly City,3,98
Daly City,4,5
Dalzell,1,5
Dalzell,2,162
Dalzell,4,2
Damascus,2,217
Damascus,3,1
Damascus,4,26
Dameron,2,2
Dameron,4,1
Dammeron Valley,2,6
Damon,2,3
Dana,2,4
Dana,4,3
Dana Point,2,94
Danbury,2,349
Danbury,3,60
Danbury,4,17
Dandridge,2,138
Dandridge,3,29
Dandridge,4,12
Dane,1,2
Dane,2,6
Danforth,3,3
Dania,1,3
Dania,2,258
Dania,3,31
Dania,4,2
Dania Beach,2,53
Dania Beach,3,19
Dania Beach,4,1
Daniel Island,2,2
Daniels,2,7
Danielson,2,22
Danielson,4,7
Danielsville,2,5
Danielsville,4,2
Dansville,2,29
Dansville,3,1
Dansville,4,6
Dante,2,4
Dante,4,2
Danube,2,13
Danvers,1,2
Danvers,2,97
Danvers,3,9
Danville,1,5
Danville,2,1033
Danville,3,137
Danville,4,46
Daphne,1,4
Daphne,2,480
Daphne,3,115
Daphne,4,11
Darby,1,1
Darby,2,102
Dardanelle,2,19
Dardanelle,4,4
Darfur,2,2
Darien,1,11
Darien,2,602
Darien,3,180
Darien,4,14
Darien Center,2,7
Darlington,1,31
Darlington,2,639
Darlington,3,5
Darlington,4,13
Darragh,2,2
Darrington,2,1
Darwin,2,16
Dassel,2,75
Dassel,4,1
Dateland,2,27
Dateland,3,5
Dateland,4,2
Daufuskie Island,2,1
Dauphin,2,96
Dauphin,4,9
Dauphin Island,2,2
Davenport,1,18
Davenport,2,1218
Davenport,3,126
Davenport,4,23
Davidson,1,1
Davidson,2,64
Davidson,3,31
Davidson,4,3
Davidsonville,1,1
Davidsonville,2,91
Davidsonville,3,4
Davidsonville,4,3
Davidsville,2,37
Davie,1,2
Davie,2,193
Davie,3,23
Davie,4,2
Davis,1,4
Davis,2,709
Davis,3,65
Davis,4,3
Davis City,2,5
Davis City,4,1
Davis Creek,2,24
Davisburg,2,63
Davisburg,3,29
Davison,1,19
Davison,2,349
Davison,3,5
Davison,4,2
Daviston,2,5
Daviston,4,1
Dawn,2,1
Dawson,2,43
Dawson,3,2
Dawson,4,7
Dawson Springs,3,1
Dawsonville,2,8
Dawsonville,4,3
Dayton,1,401
Dayton,2,4980
Dayton,3,536
Dayton,4,62
Daytona Beach,1,2
Daytona Beach,2,512
Daytona Beach,3,100
Daytona Beach,4,8
Dayville,2,29
Dayville,3,2
Dayville,4,8
Dazey,2,1
De Beque,2,109
De Beque,3,4
De Beque,4,14
De Berry,2,9
De Berry,4,2
De Borgia,2,4
De Lancey,2,1
De Leon,2,3
De Leon Springs,1,1
De Leon Springs,2,59
De Leon Springs,3,1
De Leon Springs,4,3
De Mossville,2,4
De Pere,2,53
De Pere,3,16
De Pere,4,4
De Soto,1,1
De Soto,2,98
De Soto,3,5
De Soto,4,8
De Witt,2,23
De Witt,3,1
De Witt,4,3
Deadwood,2,21
Deadwood,4,2
Deal Island,2,6
Deal Island,4,2
Deansboro,2,11
Dearborn,1,1
Dearborn,2,327
Dearborn,3,65
Dearborn,4,9
Dearborn Heights,1,1
Dearborn Heights,2,1
Death Valley,2,39
Deatsville,1,2
Deatsville,2,86
Deatsville,3,19
Deatsville,4,3
Debary,2,108
Debary,3,35
Debary,4,2
Decatur,1,9
Decatur,2,1487
Decatur,3,679
Decatur,4,102
Decherd,2,117
Decherd,4,1
Decker,2,7
Decker,4,1
Declo,2,29
Decorah,2,1
Dedham,1,9
Dedham,2,107
Dedham,3,18
Dedham,4,1
Deep Gap,2,2
Deep Gap,4,2
Deep River,2,14
Deep River,4,1
Deep Run,2,10
Deep Run,4,2
Deepwater,2,1
Deer,2,2
Deer,4,1
Deer Creek,1,1
Deer Creek,2,44
Deer Creek,3,2
Deer Island,2,30
Deer Lodge,2,152
Deer Park,1,1
Deer Park,2,128
Deer Park,3,2
Deer Park,4,5
Deer River,2,98
Deer Trail,2,5
Deer Trail,3,1
Deerbrook,4,1
Deerfield,1,4
Deerfield,2,252
Deerfield,3,73
Deerfield,4,6
Deerfield Beach,1,4
Deerfield Beach,2,487
Deerfield Beach,3,92
Deerfield Beach,4,6
Deerwood,2,60
Deeth,2,42
Deeth,3,2
Defiance,2,12
Defiance,4,1
Deforest,2,68
Deforest,3,9
Deforest,4,3
Defuniak Springs,2,442
Defuniak Springs,3,43
Defuniak Springs,4,21
Dekalb,2,23
Dekalb,3,18
Dekalb,4,3
Del City,2,2
Del Mar,1,1
Del Mar,2,273
Del Mar,3,34
Del Norte,2,4
Del Norte,4,1
Del Rey,1,2
Del Rey,2,94
Del Rio,2,6
Del Rio,4,5
Del Valle,1,53
Del Valle,2,848
Del Valle,3,3
Del Valle,4,6
Delafield,2,52
Delafield,3,19
Delafield,4,2
Delanco,2,1
DeLand,1,3
DeLand,2,697
DeLand,3,29
DeLand,4,18
Delano,1,7
Delano,2,678
Delano,3,1
Delano,4,5
Delanson,2,77
Delanson,4,5
Delaplane,2,133
Delaplane,3,21
Delaplane,4,25
Delavan,2,13
Delavan,3,3
Delavan,4,3
Delaware,1,21
Delaware,2,209
Delaware,3,3
Delaware,4,3
Delaware City,2,1
Delaware Water Gap,2,25
Delaware Water Gap,3,3
Delaware Water Gap,4,2
Delbarton,2,2
Delco,2,12
Delco,4,2
Delevan,2,2
Delhi,1,5
Delhi,2,412
Delhi,3,4
Delight,2,1
Delight,4,1
Dell,2,13
Dell City,2,2
Delmar,2,45
Delmar,3,1
Delmar,4,11
Delmont,1,3
Delmont,2,33
Delmont,4,6
Delphi,2,4
Delphi,4,3
Delphos,2,4
Delran,1,1
Delran,2,19
Delran,4,1
Delray Beach,1,2
Delray Beach,2,711
Delray Beach,3,134
Delray Beach,4,3
Delta,1,1
Delta,2,135
Delta,3,23
Delta,4,12
Deltaville,2,14
Deltaville,4,4
Deltona,2,268
Deltona,3,19
Deltona,4,7
Deming,2,55
Deming,3,10
Deming,4,10
Demopolis,2,6
Demorest,2,13
Demotte,2,50
Demotte,3,19
Demotte,4,12
Denair,2,155
Denair,4,1
Dendron,2,5
Dendron,4,6
Denham Springs,2,166
Denham Springs,3,31
Denham Springs,4,2
Denhoff,2,2
Denio,2,8
Denison,2,6
Denison,3,1
Denison,4,4
Denmark,1,2
Denmark,2,58
Denmark,3,3
Dennard,2,2
Dennard,4,2
Dennehotso,2,3
Dennis,2,1
Dennison,1,2
Dennison,2,19
Dennison,3,10
Dennison,4,1
Dent,2,9
Denton,2,728
Denton,3,373
Denton,4,54
Denver,1,202
Denver,2,4401
Denver,3,2035
Denver,4,144
Denville,2,85
Denville,3,18
Denville,4,4
Depew,2,8
Depoe Bay,2,78
Deposit,2,18
Deputy,2,3
Deputy,4,1
Derby,2,42
Derby,4,4
Derby Line,3,1
Deridder,2,1
Dermott,2,10
Dermott,4,6
Derrick City,2,27
Derrick City,3,1
Derrick City,4,2
Derry,1,1
Derry,2,52
Derry,4,3
Derwood,2,113
Derwood,3,5
Derwood,4,11
Des Allemands,2,17
Des Allemands,4,1
Des Moines,1,19
Des Moines,2,892
Des Moines,3,157
Des Moines,4,33
Des Plaines,1,8
Des Plaines,2,351
Des Plaines,3,185
Des Plaines,4,4
Desdemona,2,3
Desdemona,4,1
Desha,2,1
Deshler,2,1
Desoto,2,51
Desoto,3,50
Desoto,4,1
Destin,2,161
Destin,3,2
Destin,4,9
Destrehan,2,20
Destrehan,3,13
Destrehan,4,1
Detroit,1,76
Detroit,2,4649
Detroit,3,1515
Detroit,4,98
Detroit Lakes,1,4
Detroit Lakes,2,191
Devens,1,1
Devens,2,6
Devils Lake,2,11
Devine,3,2
Devon,1,2
Devon,2,66
Dewey,2,96
Dewey,3,1
Dewey,4,10
Deweyville,2,7
DeWitt,2,86
DeWitt,3,6
DeWitt,4,16
Dewy Rose,2,3
Dewy Rose,4,1
Dexter,2,180
Dexter,3,16
Dexter,4,6
Dexter City,2,1
Diablo,2,8
Diamond,2,5
Diamond,3,5
Diamond Bar,1,9
Diamond Bar,2,2022
Diamond Bar,3,10
Diamond Bar,4,4
Diamond Point,2,46
Diamond Point,4,5
Diamond Springs,1,2
Diamond Springs,2,119
Diamondhead,2,11
Diamondhead,4,2
Diberville,2,17
Diberville,3,2
Diberville,4,3
D'Iberville,2,10
D'Iberville,4,1
Diboll,2,3
Dickerson,2,22
Dickerson,3,12
Dickerson,4,9
Dickinson,2,73
Dickinson,3,26
Dickson,1,1
Dickson,2,59
Dickson,3,10
Dickson,4,4
Dierks,2,5
Dierks,4,3
Dike,2,8
Dike,3,1
Dike,4,2
Dillard,2,1
Dilley,2,8
Dilley,3,1
Dillon,1,16
Dillon,2,717
Dillon,3,35
Dillon,4,38
Dillon Beach,2,8
Dillonvale,2,1
Dillsboro,2,7
Dillsboro,4,1
Dillsburg,1,7
Dillsburg,2,199
Dillsburg,4,10
Dillwyn,2,35
Dillwyn,4,19
Dilworth,2,1
Dimmitt,2,4
Dimmitt,3,1
Dimmitt,4,3
Dimondale,2,7
Dimondale,3,3
Dingmans Ferry,2,46
Dinosaur,2,8
Dinosaur,4,4
Dinuba,1,5
Dinuba,2,349
Dinuba,3,1
Dinwiddie,2,148
Dinwiddie,3,22
Dinwiddie,4,25
Discovery Bay,1,4
Discovery Bay,2,185
Discovery Bay,3,1
Discovery Bay,4,3
Disputanta,2,35
Disputanta,4,15
District 1,2,3
District 1,4,1
District 12 Oxon Hill,2,3
District 13,2,1
District 17 Chillum,2,1
District 18 Seat Pleasant,2,3
District 2,3,1
District 24 Braddock,2,1
District 4 Kent Island,2,21
District 4 Kent Island,4,1
District 5,2,19
District 5,4,1
District 6 Northern,2,1
District 7 Ocean City,2,5
District 9,3,1
District F,1,1
District F,2,1
District Heights,1,1
District Heights,2,240
District Heights,3,22
District Heights,4,13
Dittmer,2,4
Dittmer,4,4
Divernon,2,1
Divernon,3,17
Divide,2,86
Divide,4,16
Dix,2,10
Dix,3,16
Dix,4,1
Dix Hills,1,1
Dix Hills,2,23
Dixon,1,3
Dixon,2,826
Dixon,3,91
Dixon,4,4
Dixon Springs,2,1
Dixon Springs,4,1
Dobbins,2,39
Dobbs Ferry,2,81
Dobbs Ferry,3,1
Dobson,2,49
Dobson,3,2
Dobson,4,14
Doddridge,2,8
Doddridge,4,3
Dodge,2,2
Dodge Center,1,1
Dodge Center,2,68
Dodge City,2,1
Dodgeville,2,2
Dodson,2,1
Doerun,2,1
Doerun,4,3
Dolan Springs,2,42
Dolan Springs,4,1
Dolores,2,5
Dolores,4,2
Dolphin,2,26
Dolphin,4,1
Dolton,2,18
Dolton,3,9
Donalds,1,3
Donalds,2,72
Donalds,4,1
Donaldson,2,37
Donaldson,4,3
Donaldsonville,2,2
Donalsonville,2,1
Donegal,2,39
Donegal,3,20
Donegal,4,6
Dongola,3,8
Doniphan,2,4
Doniphan,4,1
Donna,1,1
Donna,2,10
Donnellson,2,13
Donnellson,3,1
Donnellson,4,2
Donnelly,2,3
Doon,2,3
Dora,2,9
Dora,3,2
Doral,2,1116
Doral,4,2
Dorchester,1,43
Dorchester,2,801
Dorchester,3,203
Dorchester,4,2
Dorchester Center,1,19
Dorchester Center,2,260
Dorchester Center,3,29
Dorena,2,1
Dornsife,2,14
Dornsife,4,1
Dorris,2,48
Dos Palos,2,291
Dos Palos,4,1
Dos Rios,2,45
Doswell,2,366
Doswell,3,5
Doswell,4,2
Dothan,1,33
Dothan,2,1067
Dothan,3,6
Dothan,4,7
Double Springs,2,11
Douglas,2,44
Douglas,3,2
Douglas,4,15
Douglas City,2,75
Douglassville,2,51
Douglassville,4,5
Douglasville,2,123
Douglasville,3,49
Douglasville,4,14
Dove Creek,2,23
Dove Creek,4,9
Dover,1,23
Dover,2,805
Dover,3,58
Dover,4,47
Dover AFB,2,3
Dover Plains,2,35
Dovray,2,3
Dowagiac,2,10
Dowagiac,4,8
Dowelltown,2,6
Dowelltown,4,1
Downers Grove,1,60
Downers Grove,2,569
Downers Grove,3,91
Downers Grove,4,4
Downey,1,4
Downey,2,1728
Downey,3,383
Downey,4,3
Downieville,2,8
Downieville,4,1
Downingtown,1,12
Downingtown,2,784
Downingtown,3,8
Downingtown,4,13
Downs,3,12
Downsville,2,1
Dows,2,16
Dows,3,1
Doyle,2,180
Doyle,4,6
Doylesburg,2,9
Doylesburg,4,3
Doylestown,1,1
Doylestown,2,52
Doylestown,4,13
Dozier,2,5
Dracut,2,2
Dragoon,2,13
Dragoon,3,4
Dragoon,4,3
Drain,2,77
Drain,3,1
Drake,2,15
Drake,4,5
Drakes Branch,2,14
Drakes Branch,3,1
Drakes Branch,4,8
Drakesboro,2,1
Draper,1,8
Draper,2,742
Draper,3,158
Draper,4,7
Drasco,2,3
Drasco,4,3
Dravosburg,1,2
Dravosburg,2,14
Dravosburg,4,5
Drayton,2,5
Dresden,2,3
Dresden,4,2
Dresher,1,3
Dresher,2,123
Dresher,3,2
Drewryville,2,26
Drewryville,3,1
Drewryville,4,2
Drewsey,2,55
Drexel Hill,2,86
Drexel Hill,4,2
Drifting,2,4
Driftwood,2,14
Driftwood,4,1
Driggs,2,1
Driggs,4,1
Dripping Springs,1,2
Dripping Springs,2,23
Driscoll,2,10
Drummond,2,253
Drummonds,2,1
Drumore,2,6
Drums,2,117
Drums,3,14
Drums,4,17
Dry Branch,2,38
Dry Branch,3,4
Dry Branch,4,4
Dry Fork,2,10
Dry Fork,4,3
Dry Ridge,2,2
Dry Run,2,2
Dry Run,4,1
Drybranch,2,17
Drybranch,4,1
Dryden,2,13
Dryden,4,5
Drytown,2,11
Du Bois,1,1
Du Bois,2,282
Du Bois,3,14
Du Bois,4,7
Duanesburg,2,100
Duarte,1,1
Duarte,2,506
Duarte,3,74
Duarte,4,2
Dublin,1,12
Dublin,2,891
Dublin,3,197
Dublin,4,15
Dubois,2,112
Dubois,3,1
Dubois,4,5
Dubuque,2,17
Dubuque,4,4
Duchesne,1,1
Duchesne,2,99
Duck,2,3
Duck Creek Village,2,2
Duck River,2,3
Duck River,4,2
Ducor,2,27
Ducor,4,1
Dudley,1,1
Dudley,2,43
Dudley,3,6
Dudley,4,5
Due West,1,1
Due West,2,18
Duette,2,4
Duette,4,1
Duff,2,1
Duff,4,1
Duffield,2,22
Duffield,3,1
Duffield,4,5
Dufur,2,47
Dufur,4,1
Dugger,2,3
Dugger,4,3
Dugspur,2,2
Dugway,1,1
Dugway,2,82
Dugway,3,4
Dugway,4,1
Duke Center,2,34
Duke Center,4,1
Dulce,2,2
Duluth,1,4
Duluth,2,1062
Duluth,3,158
Duluth,4,14
Duluth city,2,19
Dumas,2,4
Dumas,3,1
Dumas,4,2
Dumfries,1,3
Dumfries,2,860
Dumfries,3,62
Dumfries,4,10
Dumont,2,44
Dumont,3,14
Dumont,4,2
Dunbar,2,101
Dunbar,4,6
Duncan,1,90
Duncan,2,1133
Duncan,3,122
Duncan,4,12
Duncannon,1,2
Duncannon,2,197
Duncannon,4,33
Duncans Mills,2,13
Duncansville,1,1
Duncansville,2,314
Duncansville,3,24
Duncansville,4,7
Duncanville,1,4
Duncanville,2,363
Duncanville,3,126
Duncanville,4,3
Dundalk,2,158
Dundalk,3,26
Dundalk,4,12
Dundas,2,89
Dundas,4,1
Dundee,1,2
Dundee,2,161
Dundee,3,5
Dundee,4,10
Dunedin,1,6
Dunedin,2,272
Dunedin,3,1
Dunellen,2,21
Dunkirk,2,131
Dunkirk,3,5
Dunkirk,4,4
Dunlap,2,61
Dunlap,4,4
Dunmore,2,1
Dunn,1,1
Dunn,2,484
Dunn,3,97
Dunn,4,63
Dunn Center,2,2
Dunn Loring,2,176
Dunn Loring,3,30
Dunn Loring,4,2
Dunnell,2,5
Dunnellon,1,2
Dunnellon,2,282
Dunnellon,4,11
Dunnigan,1,1
Dunnigan,2,93
Dunnigan,3,1
Dunnsville,2,29
Dunnsville,4,17
Dunseith,2,1
Dunsmuir,2,148
Dunsmuir,3,1
Dunsmuir,4,1
Dunstable,2,1
Dupo,2,5
Dupo,3,17
Dupont,2,100
Dupont,3,56
Dupont,4,2
Duquesne,2,29
Duquesne,4,8
Durand,2,32
Durand,4,4
Durango,2,30
Durango,3,1
Durango,4,8
Durant,2,23
Durant,3,3
Durant,4,3
Durbin,2,1
Durham,1,40
Durham,2,1450
Durham,3,202
Durham,4,85
Durhamville,2,31
Durkee,2,20
Durkee,4,3
Dushore,1,1
Dushore,2,75
Dushore,4,10
Duson,1,15
Duson,2,50
Duson,3,2
Duson,4,1
Dutch Flat,2,110
Dutch Flat,3,12
Dutch Flat,4,3
Dutch John,1,1
Dutch John,2,10
Dutch John,4,1
Dutton,2,30
Dutton,4,8
Duvall,2,9
Duvall,4,2
Duxbury,1,30
Duxbury,2,104
Duxbury,3,2
Dwight,2,3
Dwight,3,44
Dyersburg,2,1
Dyersville,2,10
Dyersville,4,1
Dyess,2,16
Dyess,4,4
Dyke,2,3
Dyke,4,3
Dysart,2,34
Dysart,4,6
Eads,2,23
Eads,3,1
Eads,4,10
Eagar,1,1
Eagar,2,8
Eagle,2,274
Eagle,3,10
Eagle,4,12
Eagle Bend,2,8
Eagle Bridge,2,15
Eagle Bridge,4,1
Eagle Creek,2,64
Eagle Creek,4,5
Eagle Lake,1,1
Eagle Lake,2,63
Eagle Lake,4,1
Eagle Mountain,2,15
Eagle Point,2,235
Eagle Point,3,1
Eagle Point,4,3
Eagle Rock,2,39
Eagle Rock,3,1
Eagle Rock,4,12
Eagle Springs,2,19
Eagle Springs,4,4
Eagles Mere,2,4
Eagleville,2,4
Eagleville,3,2
Earl Park,2,1
Earl Park,4,1
Earle,1,1
Earle,2,9
Earleton,2,2
Earleville,2,6
Earleville,4,1
Earlham,2,28
Earlham,3,8
Earlham,4,2
Earlimart,1,5
Earlimart,2,400
Earling,2,2
Earling,4,1
Earlville,2,2
Early,2,6
Early,4,4
Early Branch,1,3
Early Branch,2,43
Earlysville,2,20
Earlysville,4,10
Earp,2,50
Earth City,2,14
Earth City,3,20
Easley,1,131
Easley,2,1279
Easley,4,4
East Alton,4,1
East Amherst,2,3
East Aurora,2,6
East Aurora,4,3
East Bank,2,2
East Bend,2,9
East Bend,4,3
East Berlin,2,101
East Berlin,4,9
East Bernard,2,4
East Bernard,3,1
East Berne,2,11
East Berne,4,2
East Bernstadt,2,10
East Bernstadt,3,1
East Bernstadt,4,5
East Bethany,2,1
East Boston,1,4
East Boston,2,52
East Boston,3,3
East Boston,4,1
East Brady,2,2
East Branch,2,7
East Branch,3,1
East Brookfield,2,2
East Brunswick,2,394
East Brunswick,3,72
East Brunswick,4,3
East Canaan,2,1
East Canton,2,4
East Canton,4,1
East Carbon,2,17
East Carondelet,3,2
East Chatham,2,46
East Chatham,4,1
East Chicago,2,5
East Chicago,3,1
East Dover,2,1
East Dublin,2,7
East Dublin,3,6
East Dubuque,2,8
East Durham,2,3
East Durham,4,3
East Earl,1,4
East Earl,2,84
East Earl,4,3
East Ellijay,2,2
East Ellijay,4,1
East Elmhurst,2,398
East Elmhurst,3,6
East Falmouth,1,4
East Falmouth,2,11
East Flat Rock,2,9
East Freedom,2,120
East Freedom,3,4
East Freedom,4,3
East Fultonham,2,1
East Fultonham,4,1
East Glacier Park,2,17
East Glacier Park,4,1
East Granby,1,1
East Granby,2,19
East Granby,4,11
East Grand Forks,2,1
East Greenbush,2,66
East Greenbush,3,4
East Greenbush,4,4
East Greenville,1,2
East Greenville,2,50
East Greenwich,1,1
East Greenwich,2,87
East Greenwich,3,16
East Haddam,2,6
East Haddam,4,1
East Hampstead,2,4
East Hampton,2,27
East Hampton,3,1
East Hampton,4,4
East Hanover,2,13
East Hartford,1,3
East Hartford,2,958
East Hartford,3,146
East Hartford,4,30
East Haven,2,152
East Haven,3,45
East Haven,4,6
East Hazel Crest,2,2
East Helena,2,80
East Islip,1,1
East Islip,2,51
East Kern,2,2
East Killingly,2,1
East Kingston,1,1
East Lansing,2,51
East Lansing,4,2
East Leroy,4,1
East Liberty,2,3
East Linn,2,3
East Liverpool,2,10
East Longmeadow,2,5
East Lyme,2,112
East Lyme,3,35
East Lyme,4,3
East Marion,2,3
East Mc Keesport,1,1
East Mc Keesport,2,7
East Mc Keesport,4,2
East Meadow,1,1
East Meadow,2,87
East Meadow,4,3
East Meredith,2,1
East Meredith,4,2
East Millsboro,2,1
East Moline,2,3
East Moline,3,10
East Montpelier,2,1
East Montpelier,3,1
East Moriches,2,3
East Nassau,2,29
East Nassau,4,2
East New Market,2,42
East New Market,3,1
East New Market,4,5
East Norriton,2,3
East Northport,1,2
East Northport,2,9
East Norwich,2,3
East Orange,1,4
East Orange,2,580
East Orange,3,42
East Orange,4,4
East Palatka,2,90
East Palatka,4,3
East Palestine,2,4
East Palo Alto,1,1
East Palo Alto,2,22
East Patchogue,1,1
East Patchogue,2,9
East Peoria,1,11
East Peoria,2,147
East Peoria,3,74
East Peoria,4,1
East Petersburg,1,1
East Petersburg,2,33
East Petersburg,3,1
East Petersburg,4,1
East Pittsburgh,2,14
East Pittsburgh,4,3
East Providence,1,7
East Providence,2,56
East Providence,3,107
East Quogue,2,15
East Rancho Dominguez,2,3
East Rochester,1,2
East Rochester,2,81
East Rochester,3,4
East Rochester,4,1
East Rockaway,2,1
East Rutherford,1,1
East Rutherford,2,307
East Rutherford,3,59
East Rutherford,4,3
East Saint Louis,2,79
East Saint Louis,3,254
East Saint Louis,4,6
East San Gabriel Valley,1,1
East San Gabriel Valley,2,3
East San Gabriel Valley,3,1
East Sandwich,1,1
East Sandwich,2,10
East Schodack,2,1
East Schodack,4,1
East Setauket,2,23
East Sierra,2,6
East Smithfield,2,1
East Smithfield,4,1
East Springfield,2,1
East Springfield,4,2
East St Louis,2,118
East St Louis,3,24
